OTU,Domain,,Phylum,,Class,,Order,,Family,,Genus,,A1.FF,A2.FF,A3.FF,A4.FF,A5.FF,A6.FF,B1.FF,B2.FF,B3.FF,B4.FF,B5.FF,B6.FF,C1.FF,C2.FF,C3.FF,C4.FF,C5.FF,C6.FF,D1.FF,D2.FF,D3.FF,D4.FF,D5.FF,D6.FF
Otu00221,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Mycena,100%,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00245,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,100%,Crepidotus,100%,0,1,0,0,0,0,0,2,3,0,2,1,1,0,1,1,0,1,0,2,1,0,0,0
Otu00251,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Polyporales,100%,Pterulaceae,100%,Pterula,100%,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00282,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Strophariaceae,100%,Kuehneromyces,100%,1,2,3,1,0,0,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0
Otu00285,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Bolbitiaceae,100%,Agrocybe,100%,0,1,0,0,0,0,0,0,6,0,0,0,0,1,0,2,0,0,0,0,0,4,0,0
Otu00295,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Infundibulicybe,100%,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Otu00296,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Marasmiaceae,100%,Marasmius,100%,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,2,0,2,0,0,0
Otu00307,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Mycena,100%,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,3,0,3
Otu00311,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Mycena,100%,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,3
Otu00318,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Agaricaceae,100%,Lepiota,100%,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00327,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Infundibulicybe,100%,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Otu00334,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Cantharellales,100%,Botryobasidiaceae,100%,Botryobasidium,100%,0,1,1,3,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0
Otu00390,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Cantharellales,100%,Botryobasidiaceae,100%,Botryobasidium,100%,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0
Otu00400,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Clavariaceae,100%,Ramariopsis,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
Otu00434,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Strophariaceae,100%,Kuehneromyces,100%,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
