OTU	Domain		Phylum		Class		Order		Family		Genus		A1.FF	A2.FF	A3.FF	A4.FF	A5.FF	A6.FF	B1.FF	B2.FF	B3.FF	B4.FF	B5.FF	B6.FF	C1.FF	C2.FF	C3.FF	C4.FF	C5.FF	C6.FF	D1.FF	D2.FF	D3.FF	D4.FF	D5.FF	D6.FF
Otu00027	Fungi	100%	Ascomycota	100%	Leotiomycetes	100%	Helotiales	100%	Dermateaceae	57%	Neofabraea	57%	27	4	5	7	8	1	17	21	11	10	12	7	10	9	5	5	8	15	9	2	0	18	3	24
Otu00028	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Cantharellales	100%	Ceratobasidiaceae	100%	uncultured_Ceratobasidiaceae	42%	0	0	0	0	0	0	1	31	1	3	0	0	24	6	0	50	2	0	12	16	2	78	1	1
Otu00029	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricomycetes incertae sedis	47%	Agaricomycetes incertae sedis	47%	Tricellulortus	47%	0	0	0	0	0	0	0	0	0	105	0	0	0	3	0	0	0	2	18	0	0	44	6	34
Otu00030	Fungi	100%	Ascomycota	100%	Leotiomycetes	81%	Helotiales	81%	Helotiales incertae sedis	39%	Naemacyclus	21%	0	0	0	0	0	0	0	9	7	0	0	7	0	10	0	2	2	164	0	0	0	0	0	9
Otu00031	Fungi	100%	Ascomycota	100%	Sordariomycetes	100%	Sordariomycetes incertae sedis	100%	Sordariomycetes incertae sedis	100%	Polyscytalum	87%	8	36	16	5	14	2	9	24	3	18	12	11	9	7	2	0	0	28	0	2	0	2	0	1
Otu00032	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Polyporales	100%	Lachnocladiaceae	98%	Vararia	67%	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	2	55	0	0	0	1	4	120
Otu00033	Fungi	100%	Ascomycota	100%	Leotiomycetes	88%	Helotiales	88%	Hyaloscyphaceae	74%	Lachnum	74%	16	11	9	4	25	12	9	17	13	27	0	7	10	6	2	5	5	8	1	1	1	3	0	1
Otu00034	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Polyporales	86%	Polyporales incertae sedis	86%	Aphyllophoralean	86%	0	0	0	0	0	0	0	0	0	103	40	41	0	0	0	0	0	0	1	0	0	0	0	7
Otu00035	Fungi	100%	Ascomycota	100%	Dothideomycetes	91%	Dothideomycetes incertae sedis	77%	Dothideomycetes incertae sedis	77%	Repetophragma	77%	22	11	15	4	8	6	21	3	9	4	5	20	12	4	7	0	10	2	4	3	0	7	0	1
Otu00036	Fungi	100%	Ascomycota	100%	Pezizomycetes	31%	Pezizales	31%	Pezizales incertae sedis	31%	Phialea	31%	1	5	4	4	0	0	11	14	6	51	27	8	0	4	1	4	1	16	2	1	0	0	2	10
Otu00037	Fungi	100%	Ascomycota	100%	Pezizomycetes	46%	Pezizales	46%	Pezizales incertae sedis	46%	Phialea	46%	6	11	6	3	0	2	5	26	0	55	3	27	0	0	0	1	2	5	0	2	0	1	0	3
Otu00038	Fungi	100%	Ascomycota	100%	Leotiomycetes	93%	Helotiales	92%	Helotiales incertae sedis	29%	Eleutheromyces	29%	20	0	3	7	1	2	3	11	2	38	13	42	0	1	0	1	0	5	1	1	0	2	0	3
Otu00039	Fungi	100%	Ascomycota	100%	Leotiomycetes	100%	Leotiomycetes incertae sedis	59%	Leotiomycetes incertae sedis	59%	Collophora	59%	0	12	0	13	20	0	24	0	8	14	0	20	10	1	0	0	7	0	3	4	1	5	0	5
Otu00040	Fungi	100%	Ascomycota	100%	Sordariomycetes	100%	Sordariales	100%	Chaetomiaceae	99%	Chaetomium	89%	11	3	1	10	7	4	1	22	13	1	10	7	0	0	0	0	0	10	4	6	1	7	16	12
Otu00041	Fungi	100%	Ascomycota	100%	Leotiomycetes	100%	Leotiomycetes incertae sedis	59%	Leotiomycetes incertae sedis	59%	Collophora	59%	0	0	0	0	0	0	7	35	10	23	13	0	8	5	6	2	0	17	1	0	1	10	2	1
