OTU,Domain,,Phylum,,Class,,Order,,Family,,Genus,,A1.FF,A2.FF,A3.FF,A4.FF,A5.FF,A6.FF,B1.FF,B2.FF,B3.FF,B4.FF,B5.FF,B6.FF,C1.FF,C2.FF,C3.FF,C4.FF,C5.FF,C6.FF,D1.FF,D2.FF,D3.FF,D4.FF,D5.FF,D6.FF
Otu05179,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,99%,Crepidotus,99%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu05297,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,98%,Crepidotus,98%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu04946,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,97%,Crepidotus,97%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu05445,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,99%,Crepidotaceae,97%,Crepidotus,95%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu05749,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,96%,Crepidotus,95%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu05472,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,94%,Simocybe,94%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Otu00305,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,92%,Simocybe,92%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
Otu05077,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,91%,Crepidotus,90%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Otu05526,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,89%,Simocybe,89%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Otu05731,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,99%,Crepidotaceae,88%,Crepidotus,88%,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Otu00119,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Lycoperdaceae,100%,Lycoperdon,100%,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,20,15,0,0,0,0,0,0,0
Otu05607,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Lycoperdaceae,100%,Lycoperdon,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Otu05725,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Lycoperdaceae,100%,Lycoperdon,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Otu05791,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Lycoperdaceae,100%,Lycoperdon,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Otu00109,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36,0,0,0,1,0,7,0
Otu00127,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,100%,0,0,0,0,5,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Otu00885,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,100%,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu05241,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Otu05447,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,100%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu05451,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,100%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu05489,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,100%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu05546,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,100%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu05647,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,100%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu05666,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,100%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu05708,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,100%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu05772,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,100%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu05793,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,100%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu05825,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,100%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00003,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,99%,2,0,0,0,0,0,0,0,0,0,0,0,387,0,15,309,1,107,0,0,0,47,13,0
Otu00061,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,99%,0,0,0,0,0,0,55,0,0,0,0,0,4,0,31,0,0,0,0,0,0,0,0,0
Otu00078,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,99%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0
Otu05621,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,99%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu05665,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,99%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu05728,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,99%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00081,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,98%,0,0,0,5,0,0,0,13,25,0,0,0,0,13,0,0,0,0,0,10,0,5,0,0
