GROUP	PLOT	SITE	TREATMENT
A1.FF	A1	A	Amb
A2.FF	A2	A	Amb
A3.FF	A3	A	Amb
A4.FF	A4	A	Ndep
A5.FF	A5	A	Ndep
A6.FF	A6	A	Ndep
B1.FF	B1	B	Amb
B2.FF	B2	B	Amb
B3.FF	B3	B	Amb
B4.FF	B4	B	Ndep
B5.FF	B5	B	Ndep
B6.FF	B6	B	Ndep
C1.FF	C1	C	Amb
C2.FF	C2	C	Amb
C3.FF	C3	C	Amb
C4.FF	C4	C	Ndep
C5.FF	C5	C	Ndep
C6.FF	C6	C	Ndep
D1.FF	D1	D	Amb
D2.FF	D2	D	Amb
D3.FF	D3	D	Amb
D4.FF	D4	D	Ndep
D5.FF	D5	D	Ndep
D6.FF	D6	D	Ndep
